City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Rio Grande,BR,2022-10-09 18:22:52,-32.035,-52.0986,64.51,42,52,12.5
161,Belaya Gora,RU,2022-10-09 18:22:52,68.5333,146.4167,21.63,68,100,8.9
162,Verkhoyansk,RU,2022-10-09 18:22:52,67.5447,133.385,16.95,98,100,2.04
163,Hirara,JP,2022-10-09 18:22:53,24.8,125.2833,78.67,74,92,25.37
164,Ca Mau,VN,2022-10-09 18:22:54,9.1769,105.15,74.77,93,99,1.83
165,Berlevag,NO,2022-10-09 18:22:54,70.8578,29.0864,42.8,81,75,26.46
166,Coelho Neto,BR,2022-10-09 18:22:54,-4.2567,-43.0128,102.51,19,37,4.88
167,Biak,ID,2022-10-09 18:22:55,-0.9131,122.8766,76.33,84,100,4.92
168,Kodiak,US,2022-10-09 18:21:17,57.79,-152.4072,47.71,49,0,19.57
169,Nikolskoye,RU,2022-10-09 18:22:56,59.7035,30.7861,47.8,85,0,6.73
170,Sfantu Gheorghe,RO,2022-10-09 18:22:56,45.8667,25.7833,55.92,86,38,0.83
171,Palmer,US,2022-10-09 18:22:56,42.1584,-72.3287,62.51,45,20,8.05
172,Dayong,CN,2022-10-09 18:22:57,25.0209,118.2898,68.2,77,64,4.61
173,Agadir,MA,2022-10-09 18:22:57,30.4202,-9.5982,75.65,68,26,6.67
174,Cadillac,US,2022-10-09 18:21:10,44.2519,-85.4012,58.91,47,75,6.91
175,Cabo San Lucas,MX,2022-10-09 18:18:51,22.8909,-109.9124,94.6,51,0,3.44
176,Bethel,US,2022-10-09 18:19:00,41.3712,-73.414,63.36,51,0,11.5
177,Surt,LY,2022-10-09 18:22:58,31.2089,16.5887,74.73,57,0,10.87
178,Saldanha,ZA,2022-10-09 18:22:58,-33.0117,17.9442,62.65,85,81,17.52
179,Lavrentiya,RU,2022-10-09 18:22:59,65.5833,-171.0,27.77,64,47,7.54
180,Moerai,PF,2022-10-09 18:23:59,-22.4333,-151.3333,72.57,75,42,22.24
181,Zyryanka,RU,2022-10-09 18:24:00,65.75,150.85,10.63,88,98,8.72
182,Yablonovo,RU,2022-10-09 18:24:00,50.8523,37.3574,53.62,69,89,2.8
183,Aleksandrovsk-Sakhalinskiy,RU,2022-10-09 18:24:00,50.8975,142.1561,37.98,73,32,6.64
184,Hosanagara,IN,2022-10-09 18:24:00,13.9167,75.0667,70.52,98,78,1.07
185,Naze,JP,2022-10-09 18:24:01,28.3667,129.4833,74.32,79,88,15.14
186,Arraial Do Cabo,BR,2022-10-09 18:24:01,-22.9661,-42.0278,78.66,78,40,12.66
187,Ancud,CL,2022-10-09 18:24:01,-41.8697,-73.8203,51.37,62,7,10.87
188,Lima,PE,2022-10-09 18:23:59,-12.0432,-77.0282,61.05,72,100,6.91
189,Saint-Prosper,CA,2022-10-09 18:24:02,46.2117,-70.4811,43.7,98,100,7.58
190,Kyshtovka,RU,2022-10-09 18:24:02,56.555,76.6271,43.48,89,100,11.45
191,Channel-Port Aux Basques,CA,2022-10-09 18:23:15,47.5702,-59.1367,51.35,61,51,16.15
192,Half Moon Bay,US,2022-10-09 18:20:14,37.4636,-122.4286,71.87,84,100,3.44
193,Suba,PH,2022-10-09 18:24:03,10.8438,121.0102,83.79,76,73,18.28
194,Guiratinga,BR,2022-10-09 18:24:03,-16.3494,-53.7583,80.22,64,98,11.52
195,Cherskiy,RU,2022-10-09 18:20:51,68.75,161.3,20.35,93,100,17.81
196,Aklavik,CA,2022-10-09 18:24:05,68.2191,-135.0107,33.8,100,75,3.44
197,Cayenne,GF,2022-10-09 18:24:06,4.9333,-52.3333,89.64,62,47,16.11
198,Saint-Georges,GD,2022-10-09 18:22:23,12.0564,-61.7485,82.08,83,100,11.5
199,Marawi,PH,2022-10-09 18:24:06,7.9986,124.2928,69.01,92,89,2.06
200,Thompson,CA,2022-10-09 18:21:45,55.7435,-97.8558,50.16,43,75,8.05
201,Pisco,PE,2022-10-09 18:19:49,-13.7,-76.2167,65.01,72,0,10.36
202,Korla,CN,2022-10-09 18:24:07,41.7597,86.1469,57.63,25,0,6.2
203,Wajir,KE,2022-10-09 18:24:07,1.7471,40.0573,85.96,42,20,9.22
204,Mama,RU,2022-10-09 18:24:08,58.3106,112.8986,34.65,94,100,6.06
205,Estancia,BR,2022-10-09 18:24:09,-11.2683,-37.4383,85.26,53,41,10.87
206,Verkhnyaya Salda,RU,2022-10-09 18:21:37,58.0456,60.5533,47.12,81,89,10.22
207,Chuy,UY,2022-10-09 18:24:09,-33.6971,-53.4616,59.92,43,26,10.38
208,Sao Joao Da Barra,BR,2022-10-09 18:24:10,-21.6403,-41.0511,80.69,84,100,16.04
209,Iqaluit,CA,2022-10-09 18:24:10,63.7506,-68.5145,33.53,64,75,9.22
210,Tignere,CM,2022-10-09 18:24:11,7.3667,12.65,65.37,92,46,1.21
211,Avera,US,2022-10-09 18:24:11,33.194,-82.5271,74.37,57,100,1.36
212,Misratah,LY,2022-10-09 18:24:12,32.3754,15.0925,75.9,67,3,14.76
213,Husavik,IS,2022-10-09 18:24:12,66.0449,-17.3389,36.23,98,100,43.53
214,Jiaozuo,CN,2022-10-09 18:24:12,35.2397,113.2331,50.0,31,1,5.99
